A04.9,상세불명의 세균성 창자 감염,"Bacterial intestinal infection,unspecified",
A05,달리 분류되지 않는 기타 세균성 식중독,"Other bacterial foodborne intoxications, not elsewhere classified",
A04.0-A04.4,대장균 감염,Escherichia coli infection,
T61-T62,유해음식물에 의한 독작용,Toxic effect of noxious foodstuffs,
A05.0,포도알균성 식중독,Foodborne staphylococcal intoxication,
A05.1,보툴리누스 중독,Botulism,
A05.1,클로스트리디움 보톨리눔에 의한 전형적인 식중독,Classical foodborne intoxication due to Clostridium botulinum,
A05.2,클로스트리디움 퍼프린젠스 (클로스트리디움 웰치)에 의한 식중독,Foodborne Clostridium perfringens(Clostridium welchii) intoxication,
A05.2,괴사성 창자염,Enteritis necroticans,
A05.3,장염 비브리오에 의한 식중독,Foodborne Vibrio parahaemolyticus intoxication,
A05.4,바실러스 세레우스에 의한 식중독,Foodborne Bacillus cereus intoxication,
A05.8,기타 명시된 세균성 식중독,Other specified bacterial foodborne intoxications,
A05.9,상세불명의 세균성 식중독,"Bacterial foodborne intoxication, unspecified",
A06,아메바증,Amoebiasis,
A06,이질 아메바에 의한 감염,Infection due to Entamoeba histolytica,
A06.0,급성 아메바성 이질,Acute amebic dysentery,
A06.0,급성아메바증,Acute amoebiasis,
A06.0,상세불명의 창자 아메바증,Intestinal amoebiasis NOS,
A06.1,만성 창자 아메바증,Chronic intestinal amebiasis,
A06.2,아메바성 비이질성 대장염(큰창자염),Amebic nondysenteric colitis,
A06.3,창자의 아메바종,Ameboma of intestine,
A06.3,상세불명의 아메바종,Amoeboma NOS,
A06.4,아메바성 간 고름집(농양),Amoebic liver abscess,
A06.4,간 아메바증,Hepatic amoebiasis,
A06.5+,아메바성 폐고름집(농양),Amebic lung abscess (J99.8*),
A06.5+,폐(간)의 아메바성고름집(농양),Amoebic abscess of lung (and liver),
A06.6+,아메바성 뇌고름집(농양),Amebic brain abscess (G07*),
A06.6+,"뇌(간,폐)의 아메바성 고름집(농양)","Amoebic abscess of brain (and liver,and lung)",
A06.7,피부 아메바증,Cutaneous ameobiasis,
A06.8,기타 부위의 아메바성 감염,Amebic infection of other sites,
A06.8,아메바성 귀두염,Amoebic balanitis+ (N51.2*),
A06.8,아메바성 충수염,Amoebic appendicitis,
A06.9,상세불명의 아메바증,"Amoebiasis, unspecified",
A07,기타 원충성 창자 질환,Other protozoal intestinal diseases,
A07.0,대장섬모충증,Balantidiasis,
A07.0,대장섬모충증 이질,Balantidial dysentery,
A07.1,편모충증[람블편모충증],Giardiasis[lambliasis],
A07.2,와포자충증,Cryptosporidiosis,
A07.3,등포자충증,lsosporiasis,
A07.3,이소스포라벨리와 이소스포라 호미니스에 의한 감염,Infection due to Isospora belli and hominis,
A07.3,창자 콕시디움증,Intestinal coccidiosis,
A07.3,등포자충증,Isosporosis,
A07.8,기타 명시된 원충성 창자 질환,Other specified protozoal intestinal diseases,
A07.8,장편모충증,intestinal trichomoniasis,
A07.9,상세불명의 원충성 창자 질환,"Protozoal intestinal disease,unspecified",
A07.9,편모충성 설사,Flagellate diarrhoea,
A07.9,원충성 대장염(큰창자염),Protozoal colitis,
A07.9,원충성 설사,Protozoal diarrhoea,
A07.9,원충성 이질,Protozoal dysentery,
A08,바이러스 및 기타 명시된 창자 감염,Viral and other specified intestinal infections,
J09,위창자를 침범한 인플루엔자,Influenza with involvement of  gastrointestinal tract,
J10.8,위창자를 침범한 인플루엔자,Influenza with involvement of  gastrointestinal tract,
J11.8,위창자를 침범한 인플루엔자,Influenza with involvement of  gastrointestinal tract,
A08.0,로타바이러스 창자염,Rotaviral enteritis,
A08.1,노르월크 병원체에 의한 급성 위장병증,Acute gastroenteropathy due to Norwalk agent,
A08.2,아데노바이러스 창자염,Adenoviral enteritis,
A08.3,기타 바이러스창자염,Other viral enteritis,
A08.4,상세불명의 바이러스성 위장병증,Viral gastroenteropathy NOS,
A08.4,상세불명의 바이러스성 창자염,Enteritis NOS,
A08.4,상세불명의 바이러스 창자 감염,"Viral intestinal infection,unspecified",
A08.4,상세불명의 바이러스성 위장염,Viral gastroenteritis NOS,
A08.5,기타 명시된 창자 감염,Other specified intestinal infections,
A09,감염성 및 상세불명 기원의 기타 위장염 및 대장염,Other gastroenteritis and colitis of infectious and unspecified origin,
A00-A08,"세균성, 원충성, 바이러스성 및 기타 명시된 감염원에 의한 것","Other gastroenteritis and colitis due to bacterial, protozoal, viral and other specified infectious agents",
A09.0,감염성 기원의 기타 및 상세불명의 위장염 및 대장염,Other and unspecified gastroenteritis and colitis of infectious origin,
A09.0,창자성 카타르,"Catarrh, enteric or intestinal",
A09.0,감염성 또는 패혈성 대장염(큰창자염),Infectious or  septic colitis,
A09.0,감염성 또는 패혈성 위장염,Infectious or  septic gastroenteritis,
A09.0,감염성 또는 패혈성 창자염,Infectious or  septic enteritis,
A09.0,"감염성 또는 패혈성,상세불명 출혈의 대장염(큰창자염)","Infectious or  septic, unspecified haemorrhagic  colitis",
A09.0,"감염성 또는 패혈성,상세불명 출혈의 위장염","Infectious or  septic, unspecified haemorrhagic gastroenteritis",
A09.0,"감염성 또는 패혈성,상세불명 출혈의 창자염","Infectious or  septic, unspecified haemorrhagic enteritis",
A09.0,상세불명의 출혈성 대장염(큰창자염),"Haemorrhagic NOS, colitis",
A09.0,상세불명의 출혈성 위장염,"Haemorrhagic NOS, gastroenteritis",
A09.0,상세불명의 출혈성 창자염,"Haemorrhagic NOS, enteritis",
A09.0,급성 혈액성 설사,Acute bloody diarrhoea,
A09.0,급성 출혈성 설사,Acute hemorrhagic diarrhoea,
A09.0,급성 물성 설사,Acute watery diarrhoea,
A09.0,이질성 설사,Dysenteric diarrhoea,
A09.0,유행성 설사,Epidemic diarrhoea,
A09.0,상세불명의 감염성 설사,"Infectious diarrhoea, NOS",
A09.9,상세불명 기원의 위장염 및 대장염,Gastroenteritis and colitis of unspecified origin,
A15-A19,결핵,Tuberculosis (A15-A19),
J65,규소폐결핵증,Silicotuberculosis,
A15,세균학적 및 조직학적으로 확인된 호흡기 결핵,"Respiratory tuberculosis, bacteriologically and histologically confirmed",
A15.0,배양 유무에 관계없이 가래 현미경 검사로 확인된 폐결핵,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",
A15.0,배양 유무에 관계없이 가래 현미경 검사로 확인된 결핵성 기관지 확장증,"Tuberculosis of bronchiectasis, confirmed by sputum microscopy with or without culture",
A15.0,배양 유무에 관계없이 가래 현미경 검사로 확인된 결핵성 폐의 섬유증,"Tuberculosis of fibrosis, confirmed by sputum microscopy with or without culture",
A15.0,배양 유무에 관계없이 가래 현미경 검사로 확인된 결핵성 폐렴,"Tuberculosis of pneumonia, confirmed by sputum microscopy with or without culture",
A15.0,배양 유무에 관계없이 가래 현미경 검사로 확인된 결핵성 공기가슴증,"Tuberculosis of pneumothorax, confirmed by sputum microscopy with or without culture",
A15.1,배양만으로 확인된 폐결핵,"Tuberculosis of lung, confirmed by culture only",
A15.1,배양만으로 확인된 폐결핵 공기 가슴증,"Tuberculosis of pneumothorax, confirmed by culture only",
A15.1,배양만으로 확인된 폐결핵 기관지 확장증,"Tuberculosis of bronchiectasis, confirmed by culture only",
A15.1,배양만으로 확인된 폐결핵 폐의 섬유화,"Tuberculosis of fibrosis, confirmed by culture only",
A15.1,배양만으로 확인된 폐결핵 폐렴,"Tuberculosis of pneumonia, confirmed by culture only",
A15.2,조직학적으로 확인된 폐결핵,"Tuberculosis of lung, confirmed histologically",
A15.2,조직학적으로 확인된 폐결핵 폐의 섬유화,"Tuberculosis of fibrosis, confirmed histologically",
A15.2,조직학적으로 확인된 폐결핵 폐렴,"Tuberculosis of pneumonia, confirmed histologically",
A15.2,조직학적으로 확인된 폐결핵 기관지 확장증,"Tuberculosis of bronchiectasis, confirmed histologically",
A15.2,조직학적으로 확인된 폐결핵 공기 가슴증,"Tuberculosis of pneumothorax, confirmed histologically",
A15.3,상세불명의 방법으로 확인된 폐결핵,"Tuberculosis of lung, confirmed by unspecified means",
A15.3,세균학적이든 조직학적이든 상세불명의 방법으로 확인된 폐결핵 폐의 섬유화,"Tuberculosis of fibrosis, confirmed by unspecified means",
A15.3,세균학적이든 조직학적이든 상세불명의 방법으로 확인된 폐결핵 폐렴,"Tuberculosis of pneumonia, confirmed by unspecified means",
A15.3,세균학적이든 조직학적이든 상세불명의 방법으로 확인된 폐결핵 기관지 확장증,"Tuberculosis of bronchiectasis, confirmed by unspecified means",
A15.3,세균학적이든 조직학적이든 상세불명의 방법으로 확인된 폐결핵 공기가슴증,"Tuberculosis of pneumothorax, confirmed by unspecified means",
A15.4,세균학적 및 조직학적으로 확인된 가슴내 림프절의 결핵,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",
A15.4,세균학적 및 조직학적으로 확인된 종격동 림프절의 결핵,"Tuberculosis of lymph nodes, Mediastinal, confirmed bacteriologically and histologically",
A15.4,세균학적및 조직학적으로 확인된 기관 기관지성 림프절의 결핵,"Tuberculosis of lymph nodes, Tracheobronchial, confirmed bacteriologically and histologically",
A15.4,세균학적 및 조직학적으로 확인된 폐문 림프절의 결핵,"Tuberculosis of lymph nodes, Hilar , confirmed bacteriologically and histologically",
A15.5,"세균학적 및 조직학적으로 확인된 후두, 기관 및 기관지의 결핵 ","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",
A15.5,세균학적 및 조직학적으로 확인된 성문결핵,"Tuberculosis of glottis, confirmed bacteriologically and histologically",
A15.5,세균학적 및 조직학적으로 확인된 기관결핵,"Tuberculosis of trachea, confirmed bacteriologically and histologically",
A15.5,세균학적 및 조직학적으로 확인된 후두결핵,"Tuberculosis of Larynx, confirmed bacteriologically and histologically",
A15.5,세균학적 및 조직학적으로 확인된 기관지 결핵,"Tuberculosis of bronchus, confirmed bacteriologically and histologically",
A15.6,세균학적 및 조직학적으로 확인된 결핵성 가슴막염,"Tuberculous pleurisy, confirmed bacteriologically and histologically",
A15.6,세균학적 및 조직학적으로 확인된 가슴막의 결핵,"Tuberculosis of pleura, confirmed bacteriologically and histologically",
A15.6,세균학적 및 조직학적으로 확인된 결핵성 고름가슴증,"Tuberculosis empyema, confirmed bacteriologically and histologically",
A15.7,세균학적 및 조직학적으로 확인된 초기 호흡기 결핵,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",
A15.8,세균학적 및 조직학적으로 확인된 기타 호흡기 결핵,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",
A15.8,세균학적 및 조직학적으로 확인된 굴[코]의 결핵,"Tuberculosis of sinus [any nasal], confirmed bacteriologically and histologically",
A15.8,세균학적 및 조직학적으로 확인된 코인두 결핵,"Nasopharyngeal tuberculosis, confirmed bacteriologically and histologically",
A15.8,세균학적 및 조직학적으로 확인된 코의 결핵,"Tuberculosis of nose, confirmed bacteriologically and histologically",
A15.8,세균학적 및 조직학적으로 확인된 종격동 결핵,"Mediastinal tuberculosis, confirmed bacteriologically and histologically",
A15.9,세균학적 및 조직학적으로 확인된 상세불명의 호흡기 결핵,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",
A16,세균학적으로나 조직학적으로 확인되지 않은 호흡기 결핵,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",
A16.0,세균학적 및 조직학적으로 음성인 폐결핵,"Tuberculosis of lung, bacteriologically and histologically negative",
A16.0,세균학적 및 조직학적으로 음성인 폐결핵 폐의섬유화,"Tuberculosis of fibrosis of lung, bacteriologically and histologically negative",
A16.0,세균학적 및 조직학적으로 음성인 폐결핵 공기가슴증,"Tuberculosis of pneumothorax, bacteriologically and histologically negative",
A16.0,세균학적 및 조직학적으로 음성인 폐결핵 폐렴,"Tuberculosis of pneumonia, bacteriologically and histologically negative",
A16.0,세균학적 및 조직학적으로 음성인 폐결핵 기관지 확장증,"Tuberculosis of bronchiectasis, bacteriologically and histologically negative",
A16.1,세균학적 및 조직학적 검사를 하지 않은 폐결핵,"Tuberculous of lung, bacteriological and histological examination not done",
A16.1,세균학적 및 조직학적 검사를 하지 않은 폐결핵 폐렴,"Tubercuosis of pneumonia, bacteriological and histological examination not done",
A16.1,세균학적 및 조직학적 검사를 하지 않은 폐결핵 공기가슴증,"Tuberculosis of pneumothorax,bacteriological and histological examination not done",
A16.1,세균학적 및 조직학적 검사를 하지 않은 폐결핵 폐의 섬유화,"Tuberculosis of fibrosis of lung, bacteriological and histological examination not done",
A16.1,세균학적 및 조직학적 검사를 하지 않은 폐결핵 기관지 확장증,"Tuberculosis of bronchiectasis, bacteriological and histological examination not done",
A16.2,세균학적 또는 조직학적 확인의 언급이 없는 폐결핵,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",
A16.2,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 결핵성 폐렴,"Tuberculous pneumonia NOS, without mention of bacteriological or histological confirmation",
A16.2,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 결핵성 공기가슴증,"Tuberculous pneumothorax NOS, without mention of bacteriological or histological confirmation",
A16.2,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 결핵성 폐의섬유화,"Tuberculous fibrosis of lung NOS, without mention of bacteriological or histological confirmation",
A16.2,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 폐결핵,"Tubercolosis of lung NOS, without mention of bacteriological or histological confirmation",
A16.2,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 결핵성 기관지 확장증,"Tuberculous bronchiectasis NOS, without mention of bacteriological or histological confirmation",
A16.3,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 가슴내 림프절의 결핵,"Tuberculosis of lymph noes NOS, intrathoracic, without mention of bacteriological or histological confirmation",
A16.3,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 종격동 림프절의 결핵,"Tuberculosis of lymph nodes NOS, mediastinal, without mention of bacteriological or histological confirmation",
A16.3,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 기관기관지성 림프절의 결핵,"Tuberculosis of lymph nodes NOS, tracheobronchial, without mention of bacteriological or histological confirmation",
A16.3,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 폐문 림프절의 결핵,"Tuberculosis of lymph nodes NOS, hilar, without mention of bacteriological or histological confirmation",
A16.3,세균학적 또는 조직학적 확인의 언급이 없는 가슴내 림프절의 결핵,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",
A16.4,"세균학적 또는 조직학적 확인의 언급이 없는 후두, 기관 및 기관지의 결핵 ","Tuberculosis of larynx,trachea and bronchus, without mention of bacteriological or histological confirmation",
A16.4,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 후두결핵,"Tuberculosis of larynx NOS, without mention of bacteriological or histological confirmation",
A16.4,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 성문결핵,"Tuberculosis of glottis NOS, without mention of bacteriological or histological confirmation",
A16.4,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 기관결핵,"Tuberculosis of trachea NOS, without mention of bacteriological or histological confirmation",
A16.4,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 기관지 결핵,"Tuberculosis of bronchus NOS, without mention of bacteriological or histological confirmation",
A16.5,세균학적 또는 조직학적 확인의 언급이 없는 결핵성 가슴막염,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",
A16.5,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 결핵성 가슴막염,"Tuberculous pleurisy NOS, without mention of bacteriological or histological confirmation",
A16.5,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 결핵성 고름가슴증,"Tuberculosis empyema NOS, without mention of bacteriological or histological confirmation",
A16.5,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 가슴막의 결핵,"Tuberculousis of pleura NOS, without mention of bacteriological or histological confirmation",
A16.7,세균학적 또는 조직학적 확인의 언급이 없는 초기 호흡기 결핵,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,
A16.7,상세불명의 초기 호흡기 결핵,Primary respiratory tuberculosis NOS,
A16.7,상세불명의 초기 결핵성 복합체,Primary tuberculous complex NOS,
A16.8,세균학적 또는 조직학적 확인의 언급이 없는 기타 호흡기 결핵,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",
A16.8,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 코인두 결핵,"Nasopharyngeal tuberculosis NOS, without mention of bacteriological or histological confirmation",
A16.8,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 굴[코]의 결핵,"Tuberculosis of sinus [any nasal] NOS, without mention of bacteriological or histological confirmation",
A16.8,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 종격동 결핵,"Mediastinal tuberculosis NOS, without mention of bacteriological or histological confirmation",
A16.8,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 코의 결핵,"Tuberculosis of nose NOS, without mention of bacteriological or histological confirmation",
A16.9,세균학적 또는 조직학적 확인의 언급이 없는 상세불명의 호흡기 결핵,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",
A16.9,상세불명의 호흡기 결핵,Respiratory tuberculosis NOS,
A16.9,상세불명의 결핵,Tuberculosis NOS,
A17+,신경계통의 결핵,Tuberculosis of nervous system,
A17.0+,결핵성 수막염,Tuberculosis of meningitis (G01*),
A17.0+,"수막(뇌막,척수막)의 결핵","Tuberculosis of meninges (cerebral,spinal)",
A17.0+,결핵성 연수막염,Tuberculous leptomeningitis,
A17.1+,수막의 결핵종,Meningeal tuberculoma (G07*),
A17.1+,수막의 결핵종,Tuberculoma of meninges,
A17.8+,기타 신경계통의 결핵,Other tuberculosis of nervous system,
A17.8+,뇌의 결핵,Tuberculosis of brain (G07*),
A17.8+,뇌의 결핵종,Tuberculoma of brain (G07*),
A17.8+,척수의 결핵,Tuberculosis of spinal cord (G07*),
A17.8+,척수의 결핵종,Tuberculoma of spinal cord (G07*),
A17.8+,결핵성 뇌 고름집(농양),Tuberculous abscess of brain (G07*),
A17.8+,결핵성 수막뇌염,Tuberculous meningoencephalitis (G05.0*),
A17.8+,결핵성 척수염,Tuberculous myelitis (G05.0*),
A17.8+,결핵성 다발신경병증,Tuberculous polyneuropathy (G63.0*),
A17.9+,상세불명의 신경계통의 결핵,"Tuberculosis of nervous system, unspecified(G99.8*)",
A18,기타 장기의 결핵,Tuberculosis of other organs,
A18.0+,뼈 및 관절의 결핵,Tuberculosis of bones and joints,
A18.0+,엉덩관절의 결핵,Tuberculous of hip (M01.1*),
A18.0+,무릎관절의 결핵,Tuberculosis of knee (M01.1*),
A18.0+,척추의 결핵,Tuberculosis of vertebral column (M49.0*),
A18.0+,결핵성 관절염,Tuberculosis arthritis (M01.1*),
A18.0+,결핵성 꼭지염,Tuberculous mastoiditis (H75.0*),
A18.0+,결핵성 뼈의 괴사,Tuberculous necrosis of bone(M90.0*),
A18.0+,결핵성 골염,Tuberculous osteitis (M90.0*),
A18.0+,결핵성 골수염,Tuberculous osteomyelitis (M90.0*),
A18.0+,결핵성 건초염,Tuberculous tenosynovitis (M68.0*),
A18.0+,결핵성 윤활막염,Tuberculous synovitis (M68.0*),
A18.1,비뇨생식기계통 의 결핵,Tuberculosis of genitourinary system,
A18.1,방광 결핵,Tuberculosis of bladder+ (N33.0*),
A18.1,자궁목 결핵,Tuberculosis of cervix+ (N74.0*),
A18.1,콩팥(신장)결핵,Tuberculosis of kidney+ (N29.1*),
A18.1,남성생식기 결핵,Tuberculosis of male genital organs+ (N51*),
A18.1,요관 결핵,Tuberculosis of ureter+ (N29.1*),
A18.1,결핵성 여성 골반 염증성 질환,Tuberculous female pelvic inflammatory disease+ (N74.1*),
A18.2,결핵성 말초 림프절병증,Tuberculous peripheral lymphadenopathy,
A18.2,결핵성 샘염,Tuberculous adenitis,
A18.3,"창자,복막 및 창자사이막(장간막)샘의 결핵 ","Tuberculosis of intestines, peritoneum and mesenteric glands",
A18.3+,항문 및 직장의 결핵,Tuberculosis of anus and rectum (K93.0*),
A18.3+,"창자(큰,작은)의 결핵","Tuberculosis of intestines (large, small)(K93.0*)",
A18.3,복막뒤(림프절)의 결핵,Tuberculosis of retroperitoneal(lymph nodes),
A18.3,결핵성 복수,Tuberculous ascites,
A18.3+,결핵성 창자염,Tuberculous enteritis (K93.0*),
A18.3+,결핵성 복막염,Tuberculous peritonitis (K67.3*),
A18.4,피부 및 피부밑조직의 결핵,Tuberculosis of skin and subcutaneous tissue,
A18.4,결핵성 경결 홍반,"Erythema induratum, tuberculous",
A18.4,부식성 루프스,Lupus exedens,
A18.4+,눈꺼풀의 보통 루프스,Lupus vulgaris of eyelid (H03.1*),
A18.4,상세불명의 보통 루프스,Lupus valgaris NOS,
A18.4,피부샘병,Scrofuloderma,
A18.5,눈의 결핵,Tuberculosis of eye,
A18.5,결핵성 맥락망막염,Tuberculous chorioretinitis+ (H32.0*),
A18.5,결핵성 상공막염,Tuberculous episcleritis+ (H19.0*),
A18.5,결핵성 사이질 각막염,Tuberculous interstitial karatitis+ (H19.2*),
A18.5,결핵성 홍체섬모체염,Tubercuous iridocyclitis+ (H22.0*),
A18.5,"결핵성 각 결막염(사이질, 플릭텐)","Tuberculous keratoconjunctivitis, interstitial, phlyctenular+ (H19.2*)",
A18.6,귀의 결핵,Tuberculosis of ear,
A18.6,결핵성 중이염,Tuberculous otitis media+ (H67.0*),
A18.7+,부신의 결핵,Tuberculosis of adrenal glands (E35.1*),
A18.7+,결핵성 에디슨병,"Addison's disease, tubeculous",
A18.8,기타 명시된 장기의 결핵,Tuberculosis of other specified organs,
A18.8,심내막의 결핵,Tuberculosis of endocardium+ (I39.8*),
A18.8,심근의 결핵,Tuberculosis of myocardium+ (I41.0*),
A18.8,식도의 결핵,Tuberculosis of oesophagus+ (K23.0*),
A18.8,심장막의 결핵,Tuberculosis of pericardium+ (I32.0*),
A18.8,갑상샘의 결핵,Tuberculosis of thyroid gland+ (E35.0*),
A18.8,결핵성 대뇌동맥염,Tuberculous cerebral arteritis+ (I68.1*),
A19,좁쌀 결핵,Miliary tuberculosis,
A19,파종성 결핵,Disseminated tuberculosis,
A19,전신성 결핵,Generalized tuberculosis,
A19,결핵성 다발성 장막염,Tuberculous polyserositis,
A19.0,하나로 명시된 부위의 급성 좁쌀 결핵,Acute miliary tuberculosis of a single specified site,
A19.1,여러 부위의 급성 좁쌀 결핵,Acute miliary tuberculosis of multiple sites,
A19.2,상세불명의 급성 좁쌀 결핵,"Acute miliary tuberculosis, unspecified",
A19.8,기타 좁쌀 결핵,Other miliary tuberculosis,
A19.9,상세불명의 좁쌀 결핵,"Miliary tuberculosis, unspecified",
A20-A28,특정 동물 매개의 세균성 질환,Certain Zoonotic Bacterial diseases (A20-A28),
A20,페스트,Plague,
A20,페스트에 의한 감염,"Plague, infection due to Yersinia pestis",
A20.0,림프절형 페스트,Bubonic plague,
A20.1,봉소피부형 페스트,Cellulocutaneous plague,
A20.2,폐렴형 페스트,Pneumonic plague,
A20.3,페스트성 수막염,Plague meningitis,
A20.7,패혈증형 페스트,Septicemic plague,
A20.8,경도 페스트,Pestis minor,
A20.8,무증상형 페스트,Asymptomatic palgue,
A20.8,부전형 페스트,Abortive plague,
A20.8,기타 형태의 페스트,Other forms of plague,
A20.9,상세불명의 페스트,"Plague, unspecified",
A21,야생토끼열,Rabbit fever,
A21,프란시셀라 툴라렌시스에 의한 감염,Infection due to francisella tularensis,
A21,사슴등애열,Deer-fly fever,
A21,야생토끼병,Tularemia,
A21.0,궤양샘 야생토끼병,Ulceroglandular tularemia,
A21.1,눈샘 야생토끼병,Oculoglandular tularemia,
A21.1,안성 야생토끼병,Ophthalmic tularaemia,
A21.2,폐 야생토끼병,Pulmonary tularemia,
A21.3,위창자성 야생토끼병,Gastrointestinal tularemia,
A21.3,복부 야생토끼병,Abdominal tularaemia,
A21.7,전신 야생토끼병,Generalized tularemia,
A21.8,기타 형태의 야생토끼병,Other forms of tularemia,
A21.9,상세불명의 야생토끼병,"Tularemia, unspecified",
A22,탄저병,Anthrax,
